grau_medio,assortatividade,coef_clusterizacao,transitividade,entropia,media_dos_menores_caminhos,intermediacao_media,ponto_central_de_dominancia,diametro,metrica_s,qtd_baricentros,excentricidade_media,cor_grau_e_grau_medio_vizinhos,cor_grau_e_proximidade,cor_grau_e_cliques,Rede Social,Iteracao
8.0,-0.005161995999515057,0.6274551749229431,0.6259183883666992,0.4360728859901428,15.10595703125,0.005560093559324741,0.0783301591873169,35.0,651469.0,1.0,27.122882843017578,-0.01738046109676361,0.055586718022823334,0.6525210738182068,adolescente,19
8.0,-0.001014921348541975,0.6276286840438843,0.6263944506645203,0.4073018729686737,15.41908073425293,0.005683516152203083,0.09114661067724228,35.0,651296.0,1.0,27.3095703125,-0.002633647294715047,0.056149523705244064,0.6054368615150452,adolescente,20
8.0,-0.016966693103313446,0.6271476149559021,0.6257182359695435,0.4263900816440582,15.053768157958984,0.005539522040635347,0.1074007973074913,42.0,651365.0,1.0,29.826309204101562,-0.048912763595581055,0.046872615814208984,0.5371325016021729,adolescente,21
8.0,-0.017371891066432,0.6243202686309814,0.6228227615356445,0.4713204801082611,14.459696769714355,0.005305359605699778,0.06765124201774597,33.0,651571.0,1.0,24.808191299438477,-0.048336226493120193,0.06935237348079681,0.5633842349052429,adolescente,22
8.0,-0.01564519852399826,0.625239908695221,0.6237848997116089,0.4566889703273773,13.97903060913086,0.005115896929055452,0.0816328376531601,28.0,651509.0,1.0,22.900354385375977,-0.04477532580494881,0.07222522050142288,0.5779538154602051,adolescente,23
8.0,0.008286203257739544,0.6227901577949524,0.6212286949157715,0.48574694991111755,13.271615982055664,0.0048370580188930035,0.1010325700044632,31.0,651656.0,1.0,23.34974479675293,0.024671070277690887,0.07044146955013275,0.5354353785514832,adolescente,24
8.0,-0.011678339913487434,0.6218980550765991,0.6202581524848938,0.5043124556541443,13.911205291748047,0.00508916238322854,0.08475366234779358,35.0,651719.0,1.0,26.178417205810547,-0.03211164474487305,0.07284260541200638,0.5576353669166565,adolescente,25
8.0,-0.02545829489827156,0.6233394145965576,0.6216064095497131,0.4919181168079376,13.70640754699707,0.005008438136428595,0.059636276215314865,29.0,651707.0,1.0,23.152029037475586,-0.0748310536146164,0.07413224130868912,0.5865175127983093,adolescente,26
8.0,0.021223977208137512,0.6255149841308594,0.6240465044975281,0.44730043411254883,14.575117111206055,0.005350854247808456,0.07627373933792114,33.0,651521.0,1.0,25.333595275878906,0.059437111020088196,0.059431422501802444,0.5807381272315979,adolescente,27
8.0,-0.015542631037533283,0.6236185431480408,0.6219363212585449,0.4807604253292084,13.724878311157227,0.005015718750655651,0.06959490478038788,29.0,651652.0,1.0,23.604568481445312,-0.0486922413110733,0.07675763964653015,0.6103032827377319,adolescente,28
