grau_medio,assortatividade,coef_clusterizacao,transitividade,entropia,media_dos_menores_caminhos,intermediacao_media,ponto_central_de_dominancia,diametro,metrica_s,qtd_baricentros,excentricidade_media,cor_grau_e_grau_medio_vizinhos,cor_grau_e_proximidade,cor_grau_e_cliques,Rede Social,Iteracao
8.0,-0.0428520068526268,0.08880187571048737,0.08244617283344269,2.8318991661071777,4.212621212005615,0.0012663070810958743,0.0032541854307055473,6.0,711950.0,1.0,5.9551005363464355,-0.13187773525714874,0.8358272910118103,0.9051042199134827,adolescente,26
8.0,-0.044323425740003586,0.08221660554409027,0.07617218792438507,2.8308873176574707,4.197947025299072,0.0012605231022462249,0.003124847076833248,6.0,712379.0,1.0,5.929499626159668,-0.13531114161014557,0.8337611556053162,0.9100999236106873,adolescente,27
8.0,-0.04700779169797897,0.07848285138607025,0.07231223583221436,2.868049144744873,4.193177700042725,0.0012586432276293635,0.00334569183178246,6.0,715358.0,1.0,5.927924156188965,-0.15118420124053955,0.857603907585144,0.919032871723175,adolescente,28
8.0,-0.055451709777116776,0.08362339437007904,0.07852333039045334,2.804199457168579,4.206741809844971,0.0012639896012842655,0.003073166124522686,6.0,709664.0,1.0,5.944072246551514,-0.1579558253288269,0.8382014632225037,0.9095519185066223,adolescente,29
8.0,-0.04742947220802307,0.08499602973461151,0.07873900234699249,2.8443074226379395,4.203244209289551,0.001262611011043191,0.003121527610346675,6.0,712824.0,1.0,5.9444661140441895,-0.15426494181156158,0.8408564925193787,0.9073731303215027,adolescente,30
2.0,-0.12086322903633118,0.0,0.0,1.7391088008880615,44.98379898071289,0.0464944988489151,0.5772058963775635,133.0,5226.0,1.0,97.06539916992188,-0.20879948139190674,0.11664136499166489,1.0,facebook,1
2.0,-0.1526658833026886,0.0,0.0,1.7389017343521118,72.66503143310547,0.025946788489818573,0.6521996259689331,205.0,15082.0,1.0,147.13784790039062,-0.26765552163124084,0.07758381962776184,1.0,facebook,2
2.0,-0.16416101157665253,0.0,0.0,1.7481114864349365,80.91506958007812,0.027806218713521957,0.5831280946731567,239.0,15788.0,1.0,174.00209045410156,-0.2749704420566559,0.07050771266222,1.0,facebook,3
2.0,-0.18566736578941345,0.0,0.0,1.751499891281128,81.870849609375,0.03567307069897652,0.5253147482872009,233.0,12440.0,1.0,175.4204559326172,-0.2885081470012665,0.07747354358434677,1.0,facebook,4
2.0,-0.20058254897594452,0.0,0.0,1.7374908924102783,52.466983795166016,0.03370463848114014,0.47308412194252014,129.0,8268.0,1.0,98.7553939819336,-0.326667457818985,0.11759590357542038,1.0,facebook,5
2.0,-0.19548168778419495,0.0,0.0,1.7590177059173584,57.18248748779297,0.026131389662623405,0.46127527952194214,136.0,11823.0,1.0,102.91078186035156,-0.3017478287220001,0.10630772262811661,1.0,facebook,6
